null 	192.168.100.250 	0.29 	0.26 	0.26 	0.898076 	514 	77570 	317537 	74% 	74% 	12% 	12% 	4 	1 	2015-01-21 18:30:12
null 	192.168.100.252 	0.00 	0.00 	0.00 	0.770153 	12 	29769 	296 	40% 	28% 	5% 	4% 	0 	1 	2015-01-21 18:30:12
